timestamp,raw_gaze_x,raw_gaze_y,screen_target_x,screen_target_y
1779428164.1828322,0.39883,0.37308,100,100
1779428164.2095244,0.4088,0.35836,100,100
1779428164.2387023,0.403,0.39824,100,100
1779428164.2699275,0.4054,0.39644,100,100
1779428164.2942915,0.42119,0.39294,100,100
1779428164.3244746,0.40744,0.41781,100,100
1779428164.3567958,0.40129,0.42912,100,100
1779428164.3817446,0.40721,0.47257,100,100
1779428164.408863,0.40691,0.47926,100,100
1779428164.4391482,0.39246,0.46963,100,100
1779428164.466651,0.39268,0.46667,100,100
1779428164.5054371,0.40036,0.45106,100,100
1779428164.5351727,0.39619,0.44722,100,100
1779428164.582279,0.40593,0.4524,100,100
1779428164.6085336,0.40536,0.45616,100,100
1779428164.6506405,0.39955,0.45607,100,100
1779428164.6810005,0.39688,0.44832,100,100
1779428164.7152562,0.39335,0.45509,100,100
1779428164.739293,0.3921,0.45588,100,100
1779428164.7766218,0.39151,0.44505,100,100
1779428164.8035624,0.3909,0.44623,100,100
1779428164.8385816,0.3902,0.45706,100,100
1779428164.8689826,0.40343,0.4509,100,100
1779428164.905972,0.40419,0.46142,100,100
1779428164.9683943,0.40451,0.46219,100,100
1779428165.0263247,0.40127,0.4583,100,100
1779428165.0576675,0.40184,0.45637,100,100
1779428165.0898745,0.4074,0.4705,100,100
1779428165.1278024,0.40812,0.47243,100,100
1779428165.1544464,0.40134,0.47201,100,100
1779428165.1879342,0.40233,0.47145,100,100
1779428165.2209623,0.3945,0.47629,100,100
1779428165.243905,0.39245,0.47592,100,100
1779428165.2774043,0.39674,0.47092,100,100
1779428165.3051403,0.39851,0.47597,100,100
1779428165.3388293,0.40046,0.45935,100,100
1779428165.3679826,0.4013,0.46458,100,100
1779428165.3916845,0.40085,0.4592,100,100
1779428165.42778,0.40159,0.46523,100,100
1779428165.453902,0.40258,0.46587,100,100
1779428165.4874215,0.392,0.47155,100,100
1779428165.5205963,0.39271,0.47313,100,100
1779428165.5462449,0.39322,0.47291,100,100
1779428165.5778582,0.39094,0.45516,100,100
1779428165.6075904,0.39141,0.45818,100,100
1779428165.6425989,0.39011,0.46236,100,100
1779428165.6712081,0.40323,0.46363,100,100
1779428165.7044485,0.38973,0.44594,100,100
1779428165.7358148,0.38983,0.44715,100,100
1779428165.7675984,0.38938,0.45602,100,100
1779428165.7912872,0.39159,0.45555,100,100
1779428165.828041,0.40791,0.45852,100,100
1779428165.8528492,0.40744,0.45579,100,100
1779428165.892992,0.39436,0.45813,100,100
1779428165.9252732,0.39057,0.45287,100,100
1779428165.9594557,0.39516,0.45292,100,100
1779428165.9890683,0.39491,0.45542,100,100
